model,horizon,mse_mean,mse_std,mae_mean,mae_std
cnn_transformer,90,129159.24375,7296.468083490115,290.4031677246094,4.688310463797152
cnn_transformer,365,183649.821875,5895.99511859956,317.88720703125,5.94851550175907
lstm,90,133342.4484375,5376.868021789517,287.7117431640625,6.181616398747293
lstm,365,201265.690625,11677.71383175982,334.28696899414064,10.12182239898698
transformer,90,129397.16875,10390.945517293672,288.88746337890626,15.063131862041272
transformer,365,187903.0125,1407.9032091077224,319.3779602050781,3.9561966770170542
